제목,주최사,url,장소,장르,시작일,종료일,등록일
채수아 피아노 독주회,채수아,https://www.sac.or.kr/site/main/show/show_view?SN=50004,인춘아트홀,독주,2022-11-06,2022-11-06,2021-07-30
콰르텟 솔 정기연주회,콰르텟 솔,https://www.sac.or.kr/site/main/show/show_view?SN=46695,IBK챔버홀,교향곡,2022-11-06,2022-11-06,2021-07-16
차이코프스키 ‘더 마스터피스’,(사)밀레니엄심포니오케스트라,https://www.sac.or.kr/site/main/show/show_view?SN=49095,콘서트홀,클래식,2022-11-06,2022-11-06,2022-07-29
K-크로스오버 페스티벌 (2일차),아트앤아티스트,https://www.sac.or.kr/site/main/show/show_view?SN=46693,콘서트홀,크로스오버,2022-11-06,2022-11-06,2021-07-14
정영미 귀국 바이올린 독주회,예인예술기획,https://www.sac.or.kr/site/main/show/show_view?SN=46694,리사이틀홀,독주,2022-11-06,2022-11-06,2021-07-15
2022 뮤지컬 <브로드웨이42번가>,"CJ ENM, (주)샘컴퍼니",https://www.sac.or.kr/site/main/show/show_view?SN=48799,CJ 토월극장,뮤지컬,2022-11-05,2023-01-15,2022-08-03
2022 뮤지컬 <브로드웨이42번가>,(주)씨제이이엔엠,https://www.sac.or.kr/site/main/show/show_view?SN=49126,CJ 토월극장,뮤지컬,2022-11-05,2023-01-15,2022-09-13
2022 뮤지컬 <브로드웨이42번가>,(주)씨제이이엔엠,https://www.sac.or.kr/site/main/show/show_view?SN=49127,CJ 토월극장,뮤지컬,2022-11-05,2023-01-15,2022-09-13
김재준 첼로 독주회,JJ예술기획,https://www.sac.or.kr/site/main/show/show_view?SN=47824,인춘아트홀,독주,2022-11-05,2022-11-05,2022-02-11
정한빈 피아노 리사이틀 - 친애하는 프란츠에게,(주)스톰프뮤직,https://www.sac.or.kr/site/main/show/show_view?SN=46698,IBK챔버홀,독주,2022-11-05,2022-11-05,2021-07-16
제23회 예술의전당 음악영재콘서트,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=45218,리사이틀홀,클래식,2022-11-05,2022-11-05,2021-02-05
김선욱 & 유럽 챔버 오케스트라,(주)빈체로,https://www.sac.or.kr/site/main/show/show_view?SN=49069,콘서트홀,교향곡,2022-11-05,2022-11-05,2022-07-29
제2회 루먼 브라스 정기연주회,위드클래식,https://www.sac.or.kr/site/main/show/show_view?SN=46699,IBK챔버홀,실내악,2022-11-05,2022-11-05,2021-07-16
베를린 도이치 심포니,(주)빈체로,https://www.sac.or.kr/site/main/show/show_view?SN=46697,콘서트홀,클래식,2022-11-05,2022-11-05,2021-07-15
박수예 바이올린 리사이틀,주식회사 목프로덕션,https://www.sac.or.kr/site/main/show/show_view?SN=47278,IBK챔버홀,독주,2022-11-04,2022-11-04,2021-10-22
김명현 피아노 독주회,톤픽쳐,https://www.sac.or.kr/site/main/show/show_view?SN=47524,인춘아트홀,독주,2022-11-04,2022-11-04,2021-12-15
이정선 피아노 독주회,예인예술기획,https://www.sac.or.kr/site/main/show/show_view?SN=47277,리사이틀홀,독주,2022-11-04,2022-11-04,2021-10-21
2022 빈 필하모닉 내한공연,한국경제신문,https://www.sac.or.kr/site/main/show/show_view?SN=46700,콘서트홀,교향곡,2022-11-04,2022-11-04,2021-07-16
노부스 콰르텟 베토벤 현악사중주 전곡 연주 3,주식회사 목프로덕션,https://www.sac.or.kr/site/main/show/show_view?SN=46701,IBK챔버홀,실내악,2022-11-04,2022-11-04,2021-07-16
화음챔버오케스트라 미술관 순례 Ⅰ,(사)화음,https://www.sac.or.kr/site/main/show/show_view?SN=47825,인춘아트홀,실내악,2022-11-03,2022-11-03,2022-02-10
전지훈 피아노 독주회,예인예술기획,https://www.sac.or.kr/site/main/show/show_view?SN=46703,IBK챔버홀,독주,2022-11-03,2022-11-03,2021-07-15
현대음악앙상블‘소리’ 기획연주회 TRILOGY Ⅹ,현대음악앙상블 소리,https://www.sac.or.kr/site/main/show/show_view?SN=46704,리사이틀홀,실내악,2022-11-03,2022-11-03,2021-07-14
2022 빈 필하모닉 내한공연,한국경제신문,https://www.sac.or.kr/site/main/show/show_view?SN=46702,콘서트홀,교향곡,2022-11-03,2022-11-03,2021-07-16
21세기악회 2022 창작음악제,21세기악회,https://www.sac.or.kr/site/main/show/show_view?SN=46705,리사이틀홀,실내악,2022-11-02,2022-11-02,2021-07-16
체리 듀오 리사이틀,제이아트,https://www.sac.or.kr/site/main/show/show_view?SN=48645,인춘아트홀,실내악,2022-11-02,2022-11-02,2022-05-27
한중 전통문화예술교류제,(사)한국음악협회,https://www.sac.or.kr/site/main/show/show_view?SN=47279,콘서트홀,기타,2022-11-02,2022-11-02,2021-10-22
(비노출) 예술경영지원센터 예비전속작가 지원 결산전시,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=45657,한가람디자인미술관,뮤지컬,2022-11-02,2022-11-29,2021-03-31
최고위과정 2기 예정,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=50005,인춘아트홀,뮤지컬,2022-11-02,2022-11-02,2021-11-30
(비노출) 예술경영지원센터 협력사업,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=45656,서울서예박물관,뮤지컬,2022-11-02,2022-11-22,2021-03-31
2022 디즈니 픽사 필름 콘서트 : 코코인콘서트,서울신문사,https://www.sac.or.kr/site/main/show/show_view?SN=46706,콘서트홀,클래식,2022-11-02,2022-11-02,2021-07-14
블루밍 트리오 콘서트,(주)마스트미디어,https://www.sac.or.kr/site/main/show/show_view?SN=46707,IBK챔버홀,실내악,2022-11-02,2022-11-02,2021-07-14
2022 디즈니 픽사 필름 콘서트 : 코코인콘서트,서울신문사,https://www.sac.or.kr/site/main/show/show_view?SN=46708,콘서트홀,클래식,2022-11-01,2022-11-01,2021-07-14
이재호 귀국 바이올린 독주회,(주)푸른나무클래식,https://www.sac.or.kr/site/main/show/show_view?SN=46957,인춘아트홀,독주,2022-11-01,2022-11-01,2021-08-11
2022 제39회 대한민국국제음악제,(사)한국음악협회,https://www.sac.or.kr/site/main/show/show_view?SN=47280,콘서트홀,교향곡,2022-11-01,2022-11-01,2021-10-22
임태훈 귀국 호른 독주회,1979 SEOUL ENT,https://www.sac.or.kr/site/main/show/show_view?SN=46710,리사이틀홀,독주,2022-11-01,2022-11-01,2021-07-15
이효주 피아노 리사이틀,주식회사 목프로덕션,https://www.sac.or.kr/site/main/show/show_view?SN=46709,IBK챔버홀,독주,2022-11-01,2022-11-01,2021-07-15
2022 서울국제음악제 SIMF오케스트라 폐막음악회 with 오코 카무,서울국제음악제,https://www.sac.or.kr/site/main/show/show_view?SN=46711,콘서트홀,클래식,2022-10-30,2022-10-30,2021-07-15
현대음악 앙상블 위로 제 2회 기획 연주,아트포레,https://www.sac.or.kr/site/main/show/show_view?SN=49096,IBK챔버홀,실내악,2022-10-30,2022-10-30,2022-07-26
이주원 피아노 독주회,이든예술기획,https://www.sac.or.kr/site/main/show/show_view?SN=46713,리사이틀홀,독주,2022-10-30,2022-10-30,2021-07-15
